epoch,loss
0,0.15537831657876572
1,0.004153457781455169
2,0.0016255354832133485
3,0.0008811321329428918
4,0.0005463662105224406
5,0.0003650158662478336
6,0.0002575573839324837
7,0.00018086794479232695
8,0.00013314562775323995
9,0.00010136321046350834
10,7.636227008737882e-05
11,5.8400985387076314e-05
12,4.5270755795677865e-05
13,3.519458121445496e-05
14,2.7581476456867272e-05
15,2.1862207554982483e-05
16,1.696072854328021e-05
17,1.3278423226034243e-05
18,1.0440939027426388e-05
19,8.293561783527063e-06
20,6.55309080684674e-06
21,5.158862722459566e-06
22,4.11696849318509e-06
23,3.265015871976276e-06
24,2.588434703435875e-06
25,2.0665615822205534e-06
26,1.6366125649053882e-06
27,1.3073294722845378e-06
28,1.0389757605682664e-06
29,8.278426551239843e-07
30,6.590951368757992e-07
31,5.295543031201709e-07
32,4.188220632133582e-07
33,3.3749480185936896e-07
34,2.6517447843667066e-07
35,2.2358367112297452e-07
36,1.5470717591546822e-07
37,1.1814965325306224e-07
38,1.0119544210990877e-07
39,8.212195533966829e-08
40,4.4769711217264157e-08
41,7.947286096370792e-09
42,1.854366726345486e-09
43,1.0596381293402778e-09
44,7.947285970052084e-10
45,7.947285970052084e-10
46,5.298190646701389e-10
47,5.298190646701389e-10
48,2.6490953233506944e-10
49,0.0
